Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD00020,2023-01-01,CUST0143,Ergonomic Office Chair,Furniture,West,5,849.96,0.15,159.96
ORD00684,2023-01-01,CUST0234,Spiral Notebooks (3-Pack),Office Supplies,North,1,11.99,0.2,6.19
ORD01479,2023-01-01,CUST0003,Dual Monitor Arm,Technology,West,2,134.98,0.25,30.98
ORD01633,2023-01-01,CUST0046,Bluetooth Speaker,Electronics,North,4,199.96,0.0,87.96
ORD01992,2023-01-01,CUST0041,Desk Organizer Mesh,Furniture,West,1,24.99,0.0,13.49
ORD02013,2023-01-01,CUST0306,Bluetooth Speaker,Electronics,East,6,269.95,0.1,101.95
ORD02563,2023-01-01,CUST0198,HD Webcam 1080p,Technology,North,3,179.97,0.0,83.97
ORD02708,2023-01-01,CUST0255,External SSD 1TB,Technology,South,1,119.99,0.0,44.99
ORD02814,2023-01-01,CUST0361,HD Webcam 1080p,Technology,East,1,47.99,0.2,15.99
ORD01675,2023-01-02,CUST0149,Heavy-Duty Stapler,Office Supplies,East,1,19.99,0.0,11.49
ORD02299,2023-01-02,CUST0001,HDMI Cable 4K (6ft),Electronics,East,6,89.94,0.0,61.14
ORD02808,2023-01-02,CUST0335,A4 Printer Paper (Ream),Office Supplies,West,5,58.46,0.1,24.46
ORD00106,2023-01-03,CUST0071,Whiteboard Markers,Office Supplies,South,1,10.34,0.1,5.84
ORD02144,2023-01-03,CUST0078,Wireless Charging Pad,Electronics,East,5,112.46,0.25,39.96
ORD02183,2023-01-03,CUST0168,Document Folder Set,Office Supplies,East,2,33.98,0.0,19.98
ORD02326,2023-01-03,CUST0061,HD Webcam 1080p,Technology,West,1,53.99,0.1,21.99
ORD02608,2023-01-03,CUST0066,Lumbar Support Cushion,Furniture,West,1,29.99,0.0,15.99
ORD00836,2023-01-04,CUST0108,HDMI Cable 4K (6ft),Electronics,South,2,26.98,0.1,17.38
ORD01650,2023-01-04,CUST0043,Heavy-Duty Stapler,Office Supplies,South,2,35.98,0.1,18.98
ORD02151,2023-01-04,CUST0347,Noise-Canceling Headset,Technology,West,7,682.45,0.25,136.45
ORD00543,2023-01-05,CUST0114,USB-C Docking Station,Technology,West,2,284.98,0.05,94.98
ORD00856,2023-01-05,CUST0125,Mechanical Keyboard,Technology,West,3,191.98,0.2,53.98
