Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Sales,Discount,Profit
ORD00020,1/1/2023,CUST0143,Ergonomic Office Chair,Furniture,West,5,849.96,0.15,159.96
ORD00684,1/1/2023,CUST0234,Spiral Notebooks (3-Pack),Office Supplies,North,1,11.99,0.2,6.19
ORD01479,1/1/2023,CUST0003,Dual Monitor Arm,Technology,West,2,134.98,0.25,30.98
ORD01633,1/1/2023,CUST0046,Bluetooth Speaker,Electronics,North,4,199.96,0,87.96
ORD01992,1/1/2023,CUST0041,Desk Organizer Mesh,Furniture,West,1,24.99,0,13.49
ORD02013,1/1/2023,CUST0306,Bluetooth Speaker,Electronics,East,6,269.95,0.1,101.95
ORD02563,1/1/2023,CUST0198,HD Webcam 1080p,Technology,North,3,179.97,0,83.97
ORD02708,1/1/2023,CUST0255,External SSD 1TB,Technology,South,1,119.99,0,44.99
ORD02814,1/1/2023,CUST0361,HD Webcam 1080p,Technology,East,1,47.99,0.2,15.99
ORD01675,1/2/2023,CUST0149,Heavy-Duty Stapler,Office Supplies,East,1,19.99,0,11.49
ORD02299,1/2/2023,CUST0001,HDMI Cable 4K (6ft),Electronics,East,6,89.94,0,61.14
ORD02808,1/2/2023,CUST0335,A4 Printer Paper (Ream),Office Supplies,West,5,58.46,0.1,24.46
ORD00106,1/3/2023,CUST0071,Whiteboard Markers,Office Supplies,South,1,10.34,0.1,5.84
ORD02144,1/3/2023,CUST0078,Wireless Charging Pad,Electronics,East,5,112.46,0.25,39.96
ORD02183,1/3/2023,CUST0168,Document Folder Set,Office Supplies,East,2,33.98,0,19.98
ORD02326,1/3/2023,CUST0061,HD Webcam 1080p,Technology,West,1,53.99,0.1,21.99
ORD02608,1/3/2023,CUST0066,Lumbar Support Cushion,Furniture,West,1,29.99,0,15.99
ORD00836,1/4/2023,CUST0108,HDMI Cable 4K (6ft),Electronics,South,2,26.98,0.1,17.38
ORD01650,1/4/2023,CUST0043,Heavy-Duty Stapler,Office Supplies,South,2,35.98,0.1,18.98
ORD02151,1/4/2023,CUST0347,Noise-Canceling Headset,Technology,West,7,682.45,0.25,136.45
ORD00543,1/5/2023,CUST0114,USB-C Docking Station,Technology,West,2,284.98,0.05,94.98
ORD00856,1/5/2023,CUST0125,Mechanical Keyboard,Technology,West,3,191.98,0.2,53.98
ORD01008,1/5/2023,CUST0113,Whiteboard Markers,Office Supplies,West,1,10.92,0.05,6.42
ORD01181,1/5/2023,CUST0003,Standing Desk Converter,Furniture,West,2,499.98,0,149.98
ORD01881,1/5/2023,CUST0314,Document Folder Set,Office Supplies,South,1,16.99,0,9.99
ORD00560,1/6/2023,CUST0048,A4 Printer Paper (Ream),Office Supplies,North,6,74.04,0.05,33.24
ORD00751,1/6/2023,CUST0148,Standing Desk Converter,Furniture,East,2,499.98,0,149.98
ORD01294,1/6/2023,CUST0053,Whiteboard Markers,Office Supplies,South,1,10.92,0.05,6.42
ORD01695,1/6/2023,CUST0070,USB-C Docking Station,Technology,East,1,142.49,0.05,47.49
ORD02403,1/6/2023,CUST0134,Bluetooth Speaker,Electronics,North,2,99.98,0,43.98
ORD00004,1/7/2023,CUST0224,USB-C Docking Station,Technology,South,1,112.49,0.25,17.49
ORD01050,1/7/2023,CUST0028,Wireless Charging Pad,Electronics,South,1,29.99,0,15.49
ORD02852,1/7/2023,CUST0098,External SSD 1TB,Technology,South,3,359.97,0,134.97
ORD01287,1/8/2023,CUST0200,Spiral Notebooks (3-Pack),Office Supplies,South,10,134.91,0.1,76.91
ORD02422,1/8/2023,CUST0024,Ballpoint Pens (Pack of 12),Office Supplies,North,1,8.99,0,5.79
ORD02719,1/8/2023,CUST0198,USB-C Docking Station,Technology,West,2,299.98,0,109.98
ORD00392,1/9/2023,CUST0190,HDMI Cable 4K (6ft),Electronics,East,2,29.98,0,20.38
ORD00669,1/9/2023,CUST0026,USB-C Docking Station,Technology,North,2,254.98,0.15,64.98
ORD01057,1/9/2023,CUST0264,Portable Power Bank 20000mAh,Electronics,West,3,119.97,0,55.47
ORD01476,1/9/2023,CUST0102,Whiteboard Markers,Office Supplies,East,2,22.98,0,13.98
ORD02260,1/9/2023,CUST0001,Noise-Canceling Headset,Technology,North,4,493.96,0.05,181.96
ORD02377,1/9/2023,CUST0301,Whiteboard Markers,Office Supplies,South,1,10.34,0.1,5.84
ORD02619,1/9/2023,CUST0301,Dual Monitor Arm,Technology,South,1,89.99,0,37.99
ORD02663,1/9/2023,CUST0132,Portable Power Bank 20000mAh,Electronics,West,1,39.99,0,18.49
ORD02795,1/9/2023,CUST0007,Permanent Sticky Notes,Office Supplies,South,2,13.98,0,9.58
ORD02919,1/9/2023,CUST0146,Heavy-Duty Stapler,Office Supplies,West,1,18.99,0.05,10.49
ORD00281,1/10/2023,CUST0040,Ballpoint Pens (Pack of 12),Office Supplies,South,9,76.86,0.05,48.06
